HomeTeam,AwayTeam,FTHG,FTAG
Roma,Cagliari,1.598,0.9165
Napoli,Milan,2.1,1.652
Empoli,Lecce,1.2095,0.8375
Sassuolo,Torino,1.4615,1.2515
Salernitana,Inter,1.282,1.867
Lecce,Napoli,1.095,1.904
Milan,Empoli,1.855,0.8935
Udinese,Monza,1.4035,1.079
Fiorentina,Frosinone,1.604,0.773
Atalanta,Bologna,2.0625,1.2995
Cagliari,Genoa,1.2495,0.8685
Torino,Roma,1.0965,1.4365
Verona,Sassuolo,1.307,1.4855
Lazio,Juventus,1.918,1.3455
Genoa,Empoli,1.0705,0.8935
Frosinone,Lazio,0.9855,1.567
Bologna,Milan,1.353,1.652
Napoli,Verona,2.1,1.034
Inter,Monza,2.237,1.079
Lecce,Cagliari,1.095,0.9165
Torino,Salernitana,1.0965,0.859
Sassuolo,Juventus,1.4615,1.3455
Roma,Udinese,1.598,1.1655
Fiorentina,Atalanta,1.604,1.7535
Verona,Bologna,1.307,1.2995
Salernitana,Sassuolo,1.282,1.4855
Lazio,Torino,1.918,1.2515
Cagliari,Frosinone,1.2495,0.773
Empoli,Inter,1.2095,1.867
Monza,Fiorentina,1.3285,1.2095
Udinese,Genoa,1.4035,0.8685
Milan,Lecce,1.855,0.8375
Juventus,Napoli,1.8885,1.904
Atalanta,Roma,2.0625,1.4365
Lecce,Udinese,1.095,1.1655
Frosinone,Monza,0.9855,1.079
Roma,Milan,1.598,1.652
Torino,Atalanta,1.0965,1.7535
Inter,Lazio,2.237,1.567
Genoa,Verona,1.0705,1.034
Napoli,Salernitana,2.1,0.859
Sassuolo,Empoli,1.4615,0.8935
Fiorentina,Cagliari,1.604,0.9165
Bologna,Juventus,1.353,1.3455
Atalanta,Frosinone,2.0625,0.773
Juventus,Lecce,1.8885,0.8375
Salernitana,Fiorentina,1.282,1.2095
Cagliari,Torino,1.2495,1.2515
Lazio,Sassuolo,1.918,1.4855
Milan,Genoa,1.855,0.8685
Monza,Roma,1.3285,1.4365
Verona,Inter,1.307,1.867
Empoli,Bologna,1.2095,1.2995
Udinese,Napoli,1.4035,1.904
Milan,Lazio,1.855,1.567
Roma,Inter,1.598,1.867
Genoa,Frosinone,1.0705,0.773
Atalanta,Juventus,2.0625,1.3455
Torino,Monza,1.0965,1.079
Napoli,Fiorentina,2.1,1.2095
Lecce,Verona,1.095,1.034
Empoli,Salernitana,1.2095,0.859
Udinese,Cagliari,1.4035,0.9165
Sassuolo,Bologna,1.4615,1.2995
Lazio,Lecce,1.918,0.8375
Salernitana,Atalanta,1.282,1.7535
Frosinone,Milan,0.9855,1.652
Inter,Sassuolo,2.237,1.4855
Verona,Torino,1.307,1.2515
Fiorentina,Udinese,1.604,1.1655
Monza,Napoli,1.3285,1.904
Bologna,Roma,1.353,1.4365
Juventus,Genoa,1.8885,0.8685
Cagliari,Empoli,1.2495,0.8935
Sassuolo,Monza,1.4615,1.079
Genoa,Bologna,1.0705,1.2995
