HomeTeam,AwayTeam,FTHG,FTAG
Lecce,Frosinone,1.015277778,0.966666666
Torino,Fiorentina,1.366666667,1.479166667
Cagliari,Sassuolo,1.166779279,1.4375
Salernitana,Udinese,1.744444444,1.316666667
Frosinone,Torino,1.030668168,1.441666667
Verona,Empoli,1.433333333,1.029166667
Monza,Lecce,1.376388889,0.861111111
Sassuolo,Fiorentina,1.7,1.479166667
Genoa,Salernitana,1.033445946,0.841666666
Lecce,Bologna,1.015277778,1.65
